,PALAVRA,QTD_PALAVRA,PRONUNCIA,TRADUCAO
86,SINGLE,227,SÊNGÂL,"['SÓ, SOLTEIRO']"
156,TABLE,226,TEIBÂL,"['MESA, TABELA']"
157,NEXT,221,NEXT,['PRÓXIMO']
127,WAS,212,UÓS,"['ERA, ESTAVA']"
217,SOME,210,SÂM,['ALGUM']
144,RESULT,206,RÊZÂLT,['RESULTADO']
379,UNIT,198,IUNÂT,['UNIDADE']
30,NEW,195,NUU,['NOVO']
92,MOST,188,MOUST,"['MAIS, MAIOR']"
55,NO,187,NOU,['NÃO']
60,ANY,187,ÉNI,['QUALQUER']
153,SECOND,183,SECÂND,['SEGUNDO']
101,ABOUT,174,ÂBAUT,"['SOBRE, QUASE']"
116,THUS,174,DHÂS,['ASSIM']
448,STORE,171,STÓR,['ARMAZÉM']
383,RIGHT,159,RAIT,['DIREITO']
146,LESS,159,LES,['MENOS']
62,WRITTEN,158,RÊTÂN,['ESCRITO']
200,JUST,156,JÂST,"['JUSTO, SÓ']"
272,PROCESS,151,PROUCES,['PROCESSO']
137,MUCH,150,MÂTCH,['MUITO']
74,POINT,149,POINT,['PONTO']
182,LARGE,146,LARJ,['GRANDE']
99,I,145,AI,['EU']
293,WHILE,144,UAIL,['ENQUANTO']
125,DOES,143,DÂZ,"['FAZ, MESMO']"
179,LEFT,143,LEFT,"['ESQUERDA, DEIXADO']"
130,DO,141,DUU,"['FAZER, MESMO']"
214,AFTER,141,ÉFTÂR,['APÓS']
279,WHERE,141,UÉR,['ONDE']
419,FOUR,141,FÓR,['QUATRO']
107,EVERY,138,EVRI,['CADA']
575,STEP,135,STEP,['PASSO']
322,SMALL,135,SMÓL,['PEQUENO']
150,MAKE,133,MEIK,['FAZER']
77,SIMPLE,133,SÊMPÂL,['SIMPLES']
349,DURING,133,DUURÊNG,['DURANTE']
445,MAIN,132,MEIN,['PRINCIPAL']
223,LIKE,131,LAIK,"['COMO, GOSTAR']"
176,EVEN,129,IIVÂN,['MESMO']
44,OFTEN,129,ÓFÂN,['MUITAS-VEZES']
291,TAKE,129,TEIK,['PEGAR']
141,WERE,128,UÂR,"['ERAM, ESAVAM']"
42,THEIR,125,THÉR,['SEUS']
211,BEEN,125,BÊN,"['SIDO, ESTADO']"
105,WELL,124,UEL,"['BEM, POÇO']"
520,BEFORE,124,BÊFÓR,['ANTES']
298,COST,123,CÓST,['CUSTO']
129,COULD,121,CÔD,['PODERIA']
113,WHETHER,120,UEDHÂR,['SE']
69,OUR,118,AR,['NOSSO']
117,SHOW,116,SHOU,['MOSTRAR']
608,JUMP,116,JÂMP,['PULAR']
84,THROUGH,115,THRUU,['ATRAVÉS-DE']
386,LEVEL,111,LEVÂL,['NÍVEL']
321,EITHER,111,AIDHÂR,"['UM, OU OUTRO, TAMBÉM']"
356,ALWAYS,111,ÓLUÊZ,['SEMPRE']
360,CASE,110,KEIS,"['CASO, EMBALAGEM']"
357,SPACE,105,SPEIS,['ESPAÇO']
276,THEM,104,DHÊM,['DELES']
35,BOOK,102,BÔK,['LIVRO']
487,UP,101,ÂP,['PARA-CIMA']
52,SHOULD,99,SHÔD,['DEVERIA']
393,BASE,99,BEIS,['BASE']
340,POWER,97,PAUÂR,"['PODER, FORÇA']"
481,SIMILAR,97,SÊMÂLÃR,['SEMELHANTE']
581,SIGN,96,SAIN,['SINAL']
385,GO,96,GÔU,['IR']
164,FIND,96,FAIND,['ENCONTRAR']
541,EXERCISE,94,EKSÂRSAIZ,['EXERCÍCIO']
295,PLACE,92,PLEIS,['LUGAR']
365,RATHER,92,RAADHÂR,['DE-PREFERÊNCIA']
109,DETERMINE,92,DÊTÂRMÂN,['DETERMINAR']
159,FOUND,91,FAUND,"['ENCONTRADO, FUNDAR']"
208,NOW,90,NAU,['AGORA']
118,THOSE,90,DHOUZ,['AQUELES']
338,RUN,89,RÂN,['CORRER']
65,YOUR,89,YÓR,['SEU']
205,SEVERAL,89,SEVRÂL,['VÁRIOS']
352,OVER,88,OUVÂR,"['SOBRE, ACIMA-DE']"
188,CHANGE,88,TCHEINJ,['MUDAR']
173,LAST,86,LÉST,"['ÚLTIMO, DURAR']"
183,FIVE,86,FAIV,['CINCO']
342,FAST,86,FÉST,['RÁPIDO']
536,EQUAL,86,IIQUÂL,['IGUAL']
334,TOTAL,85,TOUTÃL,['TOTAL']
225,GET,83,GHÉT,['FICAR']
66,SUPPORT,83,SÂPÓRT,['APOIAR']
493,LONG,83,LÓNG,['LONGO']
384,LOOK,82,LÔK,['OLHAR']
399,WAY,82,UEI,"['CAMINHO, JEITO']"
323,OCCUR,81,ÂCÂR,['OCORRER']
12,REAL,81,RIIL,['REAL']
224,END,80,ÊND,"['FIM, FINALIZAR']"
194,ELEMENT,80,ELÊMÂNT,['ELEMENTO']
49,PRODUCT,80,PRADÂKT,['PRODUTO']
177,INCLUDE,78,ÊNCLUD,['INCLUIR']
133,WORK,78,UÂRK,['TRABALHO']
61,FORM,78,FÓRM,"['FORMA, FORMULÁRIO']"
347,POSSIBLE,78,PASÂBÂL,['POSSÍVEL']
654,DOUBLE,78,DÂBÂL,['DOBRO']
345,MIGHT,77,MAIT,"['PODER, PODERIA']"
87,CALL,76,CÓL,['CHAMAR']
574,SEGMENT,75,SEGMÂNT,['SEGMENTO']
354,VERY,75,VÉRI,"['MUITO, ABSOLUTO']"
433,CAUSE,75,CÓZ,['CAUSA']
226,ABOVE,74,ÂBÂV,['ACIMA']
149,MAJOR,74,MEIDJÂR,"['MAIOR, MAJOR']"
297,OUT,74,AUT,['FORA']
187,BACK,73,BÉK,"['ATRÁS, COSTAS']"
232,ONCE,73,UÂNS,['UMA-VEZ']
401,STILL,72,STÊL,"['ATÉ, CALMO']"
388,TEN,72,TEN,['DEZ']
595,DECIMAL,72,DÊSÊMÂL,['DECIMAL']
341,CONSIDER,72,CÂNSÊDÂR,['CONSIDERAR']
54,COMPLETE,70,CÂMPLIIT,['COMPLETO']
409,ALLOW,69,ÂLAU,['PERMITIR']
636,SEPARATE,69,SEPÂRÂT,['SEPARADO']
299,MULTIPLY,69,MÂLTÂPLAI,['MULTIPLICAR']
472,ORDER,68,ÓRDÂR,"['ORDEM, PEDIDO']"
80,COMMON,68,CAMÂN,['COMUM']
397,TOP,67,TAP,"['TOPO, PRINCIPAL']"
56,PART,67,PART,['PARTE']
88,BASIC,67,BEISÊK,['BÁSICO']
452,SPEED,66,SPIID,['VELOCIDADE']
485,HIGH,65,RRAI,['ALTO']
3,THIRD,65,THÂRD,['TERCEIRO']
382,COMPARE,65,CÂMPÉR,['COMPARAR']
73,SAVE,63,SEIV,['SALVAR']
413,REQUIRE,63,RÊQUAIR,['EXIGIR']
189,CHECK,62,TCHEK,"['CHEQUE, CHECAGEM']"
430,HIT,62,RRÊT,['ACERTAR']
576,SUBTRACT,62,SÂBTRÉCT,['SUBTRAIR']
521,TEST,61,TEST,['TESTE']
243,TOGETHER,61,TÂGHEDHÂR,['JUNTOS']
304,UNTIL,61,ÂNTÊL,['ATÉ']
20,WIDE,60,UAID,['AMPLO']
274,MADE,60,MEID,['FEITO']
97,TRUE,60,TRUU,['VERDADEIRO']
587,DIVIDE,59,DÊVAID,['DIVIDIR']
406,LINE,59,LAIN,"['LINHA, FILA']"
488,FULL,59,FÔL,['CHEIO']
335,MEAN,59,MIIN,"['MEIO, SIGNIFICAR']"
591,MOVE,58,MUUV,['MOVIMENTO']
198,HALF,58,RRÉF,['METADE']
372,KNOW,57,NOU,['SABER']
228,COUNT,56,CAUNT,"['CONTAR, CONTAGEM, CONDE']"
121,WANT,55,UÂNT,['QUERER']
350,NOTE,55,NOUT,['ANOTAR']
403,NAME,55,NEIM,['NOME']
469,TYPE,54,TAIP,"['TIPO, DATILOGRAFAR']"
124,WHY,53,UAI,['POR-QUE']
558,PROBLEM,53,PRABLÂM,['PROBLEMA']
371,SPECIAL,53,SPESHÂL,['ESPECIAL']
313,AMONG,53,ÂMÂNG,['ENTRE']
302,LEAST,53,LIIST,['MENOS']
184,HELP,52,RRÊLP,['AJUDAR']
332,FRACTION,52,FRÉCSHÂN,['FRAÇÃO']
103,CURRENT,52,CÂRÂNT,['ATUAL']
331,REPRESENT,52,REPRÊZENT,['REPRESENTAR']
532,MEASURE,52,MEJÂR,['MEDIDA']
231,PROVIDE,51,PRÂVAID,['FORNECER']
8,HISTORY,51,RRÊSTÂRI,['HISTÓRIA']
72,PUT,51,PÔT,['POR']
366,REST,51,REST,"['RESTO, DESCANSO']"
494,LENGTH,50,LENTH,['COMPRIMENTO']
463,CONTAIN,50,CÂNTEIN,['CONTER']
417,DONE,49,DÂN,['FEITO']
319,CLASS,49,CLÉS,['CLASSE']
592,COPY,49,CAPI,['COPIAR']
79,DESCRIBE,49,DÊCRAIB,['DESCREVER']
202,GOOD,48,GÔD,['BOM']
457,START,48,START,['COMEÇAR']
170,KEY,48,KII,['CHAVE']
204,ABLE,47,EIBÂL,['CAPAZ']
585,SELECT,47,SÊLECT,['SELECIONAR']
262,TOO,47,TUU,['TAMBÉM']
531,PROPER,46,PRAPÂR,['PRÓPRIO']
273,HERE,45,RRIIR,['AQUI']
275,BEST,44,BEST,['MELHOR']
163,GIVE,44,GHÊV,['DAR']
244,METHOD,44,MÉTHÂD,['MÉTODO']
435,SOLUTION,44,SÂLUSHÂN,['SOLUÇÃO']
381,TRY,44,TRAI,['TENTAR']
471,AREA,44,ÉRIIÂ,['ÁREA']
111,MODERN,43,MADÂRN,['MODERNO']
290,FEW,42,FIU,['ALGUNS']
236,US,42,ÂS,['NOS']
305,EARLY,41,ÂRLI,['CEDO']
251,HARD,41,RRARD,['DURO']
166,PRESENT,41,PREZÂNT,['PRESENTE']
136,HAD,41,RRÉD,['TINHA']
193,FINAL,41,FAINÂL,['FINAL']
22,DIVISION,41,DÊVÊZHÂN,['DIVISÃO']
24,WORLD,41,UÂRLD,['MUNDO']
128,CREATE,40,CRIEIT,['CRIAR']
199,KEEP,40,KIIP,['GUARDAR']
459,HOLD,40,RROULD,['GUARDAR']
239,CORRECT,40,CÂREKT,['CORRETO']
653,ROUND,39,RAUND,"['REDONDO, RODADA']"
606,CONDITION,39,CÂNDÊSHÂN,['CONDIÇÃO']
632,TRACK,39,TRÉK,['TRILHA']
687,QUOTIENT,39,QUOSHÂNT,['QUOCIENTE']
326,RANGE,38,REINDJ,"['ALCANCE, PASTAGEM']"
404,FAR,37,FAR,['LONGE']
625,COLUMN,37,CALÂM,['COLUNA']
378,STRING,37,STRÊNG,['CORDA']
622,OBJECT,37,ÂBJÊKT,['OBJETO']
222,THINK,37,THÊNK,['PENSAR']
120,WHO,37,RRUU,['QUE']
353,DEPEND,36,DÊPEND,['DEPENDER']
657,INDICATE,36,ÊNDÊKEIT,['INDICAR']
85,BETTER,36,BETTÂR,['MELHOR']
683,COURSE,36,CÓRS,['CURSO']
577,REASON,35,RIIZÂN,['RAZÃO']
586,OPERATE,35,APÂREIT,['OPERAR']
201,DID,35,DÊD,"['FEZ, MESMO']"
652,PATH,34,PÉTH,['CAMINHO']
364,ORIGINAL,34,ÂRÊDJÂNÂL,['ORIGINAL']
218,GROUP,34,GRUP,['GRUPO']
535,DIFFICULT,34,DÊFÊCÂLT,['DIFÍCIL']
589,FACT,33,FÉKT,['FATO']
320,OLD,33,OULD,['VELHO']
339,NEVER,32,NEVÂR,['NUNCA']
89,CARRY,32,KÉRI,['CARREGAR']
174,AGAIN,32,ÂGHEIN,['DE-NOVO']
626,EFFECT,32,ÊFECT,['EFEITO']
509,DISCUSS,32,DÊSCÂS,['DISCUTIR']
583,EXCEPT,32,ÊKSCEPT,['EXCETO']
440,COLOR,32,CÂLÂR,"['COR, COLORIR']"
376,TERM,32,TÂRM,"['TERMO, PERÍODO']"
619,CARE,32,KÉR,['CUIDADO']
280,WHOSE,32,RRUUZ,['CUJO']
343,NECESSARY,30,NESÂSÉRI,['NECESSÁRIO']
461,BOTTOM,30,BATTÂM,['BAIXO']
392,OFF,30,ÓF,"['POR, DESLIGADO']"
311,MAP,30,MÉP,['MAPA']
39,PAPER,30,PEIPÂR,['PAPEL']
209,MILLION,30,MÊLIÂN,['MILHÃO']
76,PEOPLE,29,PIIPÂL,"['PESSOAS, POVO']"
484,FIT,29,FÊT,['AJUSTADO']
308,LEAD,29,LIID,"['LEVAR, CHUMBO']"
270,UNDER,29,ÂNDÂR,['SOB']
227,YET,29,YET,"['AINDA, JÁ']"
324,PARTICULAR,28,PARTÊKIÂLAR,['ESPECIAL']
206,LAW,28,LÓ,['LEI']
438,NOTICE,28,NOTTÂS,['AVISO']
139,MATERIAL,28,MÂTIIRIÂL,['MATERIAL']
460,DRIVE,28,DRAIV,"['DIREÇÃO, DIRIGIR']"
374,REMEMBER,28,RIMEMBÂR,['LEMBRAR']
119,LITTLE,28,LÊTTÂL,"['PEQUENO, POUCO']"
391,SEND,28,SEND,['ENVIAR']
512,DOWN,28,DAUN,['BAIXO']
614,BODY,27,BADDI,['CORPO']
325,GENERAL,27,JENRAL,"['GENERAL, GERAL']"
466,EIGHT,27,EIT,['OITO']
655,CHOOSE,27,TCHUUZ,['ESCOLHER']
432,SURFACE,27,SÂRFÂS,['SUPERFICIE']
534,BEGIN,27,BÊGHÊN,['COMEÇAR']
523,ENOUGH,26,INÂF,['BASTANTE']
380,OWN,26,OUN,['PRÓPRIO']
518,DIE,26,DAI,['MORRER']
175,QUESTION,26,QUÉSCHÂN,"['QUESTÃO, PERGUNTA']"
629,ROW,26,ROU,"['REMAR, FILA']"
178,SHORT,26,SHÓRT,['CURTO']
362,ANSWER,26,ÉNSÂR,['RESPOSTA']
449,PATTERN,26,PÉTTÂRN,['PADRÃO']
726,DIRECT,26,DÂREKT,['DIRETO']
318,LOW,26,LOU,['BAIXO']
369,SURE,26,SHÔR,['CERTO']
476,EDGE,26,EJ,['CANTO']
415,PRODUCE,25,PRÂDUS,['PRODUÇÃO']
446,LIGHT,25,LAIT,"['LEVE, LUZ']"
456,SIDE,25,SAID,['LADO']
684,EVENT,25,IVENT,['EVENTO']
414,CLEAR,25,CLIIR,['CLARO']
126,TURN,25,TÂRN,"['TORNAR, VEZ']"
359,BUILD,25,BÊLD,['CONSTRUIR']
50,APPEAR,24,ÂPIIR,['APARECER']
190,PRACTICE,24,PRÉCTTÂS,['PRÁTICA']
267,PASS,24,PÉS,['PASSAR']
140,MATCH,24,MÉTCH,"['COMPETIÇÃO, FÓSFORO']"
503,DIFFER,24,DÊFÂR,['DIFERIR']
645,SAY,24,SEI,['DIZER']
489,CLOSE,24,CLOUS,['FECHAR']
601,SOON,23,SUUN,['LOGO']
285,LED,22,LED,['LEVADO']
421,BIG,22,BÊG,['GRANDE']
628,PAIR,22,PÉR,['PAR']
505,CONTINUE,22,CÂNTÊNIU,['CONTINUAR']
420,COME,22,CÂM,['VIR']
203,DEAL,22,DIIL,['NEGÓCIO']
151,INDUSTRY,22,ÊNDÂSTRI,['INDÚSTRIA']
721,SAW,21,SÓ,"['VIU, SERRA']"
355,YEAR,21,YIIR,['ANO']
410,NATURAL,21,NÉTCHÂRÂL,['NATURAL']
247,SHARE,20,SHÉR,['PARTE']
741,WAIT,20,UEIT,['ESPERAR']
405,FLOW,20,FLOU,"['CORRER, CORRENTE']"
122,LEARN,20,LÂRN,['APRENDER']
602,NOR,20,NÓR,['NEM']
426,SENT,20,SENT,['ENVIADO']
407,FOLLOW,19,FALOU,['SEGUIR']
310,HUMAN,19,RRIUMÂN,['HUMANO']
215,SEARCH,19,SÂRTCH,['BUSCAR']
486,SLOW,19,SLOU,['DEVAGAR']
422,PICTURE,19,PÊKTCHÂR,"['FOTO, FILME']"
482,HEAD,19,RRED,['CABEÇA']
545,LIST,18,LÊST,['LISTA']
672,MIX,18,MÊKS,['MISTURA']
424,BOARD,18,BÓRD,['QUADRO']
248,HIS,18,RRÊS,['SEU']
556,READY,18,RIIDI,['PRONTO']
506,SCALE,18,SKEIL,"['ESCADA, ESCALA, ESCAMA']"
621,RECORD,18,RECÂRD,"['RECORDE, GRAVAR, REGISTRO']"
644,WRONG,18,RÓNG,['ERRADO']
510,DAY,17,DEI,['DIA']
221,VIEW,17,VIU,['VISTA']
9,SCIENCE,17,SAINS,['CIÊNCIA']
283,ELSE,17,ELS,['OUTRO']
333,MARKET,17,MARKÂT,['MERCADO']
162,ESPECIALLY,17,ÊSPESHÂLI,['ESPECIALMENTE']
599,DECIDE,17,DÊSAID,['DECIDIR']
559,CHARACTER,17,KÉRÊKTÂR,"['CARÁTER, PERSONAGEM']"
400,HAND,17,RRÉND,['MÃO']
462,SUPPLY,16,SÂPLAI,['SUPRIR']
423,BOX,16,BAKS,['CAIXA']
408,OFFER,16,AFÊR,['OFERECER']
618,LIFE,16,LAIF,['VIDA']
411,SYMBOL,16,SÊMBÂL,['SÍMBOL']
549,FORWARD,16,FÓRUÂRD,"['ADIANTE, PASSAR ADIANTE']"
555,POSITION,15,PÂZÊSHÃN,['POSIÇÃO']
612,NOTHING,15,NÂTHÊNG,['NADA']
610,EXPECT,15,IKSPEKT,['ESPERAR']
465,MIDDLE,15,MÊDÂL,['MEIO']
620,THOUGH,15,THOU,['APESAR-DE']
148,SIX,15,SÊKS,['SEIS']
268,WISH,15,UÊSH,['DESEJO']
344,VARY,15,VÉRI,['VARIAR']
700,PRESS,15,PRES,"['PRESSÃO, IMPRENSA']"
300,PAST,15,PÉST,['PASSADO']
197,FRONT,15,FRÂNT,['FRENTE']
287,KEPT,15,KEPT,['GUARDADO']
708,PERIOD,15,PÊRIIÂD,['PERÍODO']
714,ENERGY,14,ENÂRJI,['ENERGIA']
195,CARD,14,CARD,['CARTÃO']
196,IDEA,14,AIDIIA,['IDÉIA']
470,SAFE,14,SEIF,"['SEGURO, COFRE']"
160,MATTER,14,MÉTTÂR,"['MATÉRIA, IMPORTAR-SE']"
261,SOUTH,13,SAUTH,['SUL']
258,MARK,13,MARK,['MARCAR']
661,AGAINST,13,ÂGHENST,['CONTRA']
395,THOUGHT,13,THÓT,"['PENSAMENTO, PENSADO']"
563,GROW,13,GROU,['CRESCER']
502,QUITE,13,QUAIT,['MUITO']
615,ROOM,13,RUUM,"['CÔMODO, QUARTO']"
475,NEAR,13,NIIR,['PERTO']
550,CERTAIN,13,SÂRTÂN,['CERTO']
491,CONNECT,13,CÂNECT,['CONECTAR']
427,PIECE,13,PIIS,"['PEÇA, PEDAÇO']"
716,PORT,13,PÓRT,['PORTO']
492,WHOLE,12,RROUL,['INTEIRO']
447,BEHIND,12,BÊRRAIND,['ATRÁS']
234,FREE,12,FRII,"['LIVRE, GRÁTIS']"
436,LIQUID,12,LÊQUÂD,['LÍQUIDO']
659,SEVEN,12,SEVÂN,['SETE']
562,SAID,11,SÉD,['DISSE']
596,TELL,11,TÊL,['CONTAR']
692,EXACT,11,IGZÉCT,['EXATO']
10,CENTER,11,CENTÂR,['CENTRO']
233,GREAT,11,GREIT,"['ÓTIMO, EXCELENTE, GRANDE']"
253,AIR,11,ÉR,['AR']
114,INTEREST,11,ÊNTRÂST,"['INTERESSE, JUROS']"
81,ART,11,ART,['ARTE']
100,BELIEVE,11,BÊLIIV,['ACREDITAR']
689,GUESS,11,GHES,['ADIVINHAR']
286,LATE,11,LEIT,['TARDE']
361,ARM,11,ARM,['BRAÇO']
278,DRY,11,DRAI,['SECO']
464,TOWARD,10,TUUARD,['PARA']
511,RULE,10,RUUL,"['RÉGUA, REGRA']"
48,CLAIM,10,CLEIM,['CLAMAR']
33,COVER,10,CÂVÂR,['COBRIR']
682,FILL,10,FÊL,['ENCHER']
613,PUSH,10,PÔSH,"['EMPURRAR, INICIATIVA']"
660,REPEAT,10,RÊPIIT,['REPETIR']
277,NORTH,10,NÓRTH,['NORTE']
616,HAPPEN,10,RRÉPÂN,['ACONTECER']
551,BREAK,10,BREIK,['QUEBRAR']
564,WATER,10,UÓTTÂR,['ÁGUA']
478,LOST,10,LÓST,['PERDIDO']
249,HE,9,RRII,['ELE']
670,DRAW,9,DRÓ,"['ARRASTAR, EMPATE']"
370,YES,9,YES,['SIM']
473,HEAT,9,RRIIT,['CALOR']
351,SUBJECT,9,SÂBJÊKT,"['SUJEITO, ASSUNTO']"
314,PICK,9,PÊK,"['ESCOLHER, APANHAR']"
254,FORCE,9,FÓRS,"['FORÇA, FORÇAR']"
784,BELL,9,BEÓL,['SINO']
524,BROUGHT,9,BRÓT,['TRAZIDO']
604,SEEM,9,SIIM,['PARECER']
685,SCHOOL,9,SKOOL,['ESCOLA']
704,WEEK,9,UIIK,['SEMANA']
600,LET,9,LET,['DEIXAR']
642,DEAD,8,DED,['MORTO']
495,PERHAPS,8,PÂRHÉPPS,['TALVEZ']
418,OPEN,8,OUPÂN,['ABERTO']
717,STOP,8,STAP,['PARAR']
762,BANK,8,BÉNK,['BANCO']
252,COLLECT,8,CÂLECT,"['RECOLHER, PAGAR']"
454,FLAT,8,FLÉT,"['ACHATADO, PLANO']"
307,PROTECT,8,PRÂTECT,['PROTEGER']
673,TEMPERATURE,8,TEMPRÂCHÂR,['TEMPERATURA']
584,DRESS,8,DRES,['VESTIDO']
316,CELL,8,CEÓL,"['CELA, CÉLULA']"
702,EVER,8,EVÂR,"['SEMPRE, JÁ']"
724,NINE,7,NAIN,['NOVE']
648,DANGER,7,DEINDJÂR,['PERIGO']
546,COMPANY,7,CÂMPÂNI,"['COMPANHIA, EMPRESA']"
633,SENSE,7,SENS,['SENTIDO']
515,WIRE,7,UAIR,['ARAME']
605,OPPOSITE,7,APÂZÂT,['OPOSTO']
301,WALL,7,UÓL,['PAREDE']
718,DEGREE,7,DÊGRII,['GRAU']
437,TUBE,7,TUUB,"['TUBO, TV']"
539,STORY,7,STÓRI,"['ESTÓRIA, ANDAR(PRÉDIO)']"
450,EYE,7,AI,['OLHO']
597,RECEIVE,7,RICIIV,['RECEBER']
358,NATURE,7,NEITCHÂR,['NATUREZA']
315,HOME,7,RROUM,['CASA']
572,MIND,7,MAIND,"['MENTE, IMPORTAR-SE']"
131,PLAN,7,PLÉN,['PLANO']
691,FINE,7,FAIN,"['BOM, EXCELENTE']"
477,MEANT,7,MENT,['SIGNIFICADO']
312,AGO,7,ÂGOU,['ATRÁS']
19,STUDENT,6,STUUDÂNT,['ESTUDANTE']
309,BRING,6,BRÊNG,['TRAZER']
328,AGE,6,EIJ,['IDADE']
566,SPEND,6,SPEND,['GASTAR']
552,CITY,6,CÊTTI,['CIDADE']
646,MOTION,6,MOUSHÂN,['MOVIMENTO']
635,PAY,6,PEI,['PAGAR']
582,JOB,6,JÁB,"['TRABALHO, JÓ']"
579,SHALL,6,SHÉL,['VAI']
651,SUN,6,SÂN,['SOL']
281,CUT,6,CÂT,['CORTAR']
751,DEEP,6,DIIP,['PROFUNDO']
346,PLANE,6,PLEIN,['AVIÃO']
265,BLACK,6,BLÉK,['NEGRO']
658,ACT,6,ÉKT,"['ATO, AGIR']"
451,GRAY,6,GREI,['CINZA']
458,METAL,6,METTÂL,['METAL']
467,SQUARE,6,SQUÉR,"['QUADRADO, PRAÇA']"
245,WROTE,6,ROUT,['ESCRITO']
367,LOT,6,LÓT,"['MUITO, LOTE']"
497,CROSS,6,CRÓS,"['CRUZ, CRUZAR']"
666,GUIDE,6,GAID,"['GUIA, GUIAR']"
348,TOUCH,6,TÂTCH,['TOCAR']
519,BAD,6,BÉD,['MAL']
250,TOOK,6,TÔK,['PEGO']
93,THING,6,THÊNG,['COISA']
640,EASE,5,IIZ,['FACILITAR']
490,HOUR,5,AUR,['HORA']
637,HOT,5,RRAT,['QUENTE']
773,MASTER,5,MÉSTÂR,['MESTRE']
543,MASS,5,MÉS,"['MASSA, MISSA']"
