,PALAVRA,QTD_PALAVRA,PRONUNCIA,TRADUCAO
126,ABOVE,1,ÂBÂV,['ACIMA']
160,BEAT,1,BIIT,['BATER']
43,NECESSARY,1,NESÂSÉRI,['NECESSÁRIO']
125,COVER,1,CÂVÂR,['COBRIR']
123,BREAK,1,BREIK,['QUEBRAR']
79,US,1,ÂS,['NOS']
78,STORE,1,STÓR,['ARMAZÉM']
75,HERE,1,RRIIR,['AQUI']
73,SAME,1,SEIM,['MESMO']
71,DO,1,DUU,"['FAZER, MESMO']"
70,POINT,1,POINT,['PONTO']
69,NO,1,NOU,['NÃO']
68,INCLUDE,1,ÊNCLUD,['INCLUIR']
28,FRACTION,1,FRÉCSHÂN,['FRAÇÃO']
29,SECOND,1,SECÂND,['SEGUNDO']
34,MATTER,1,MÉTTÂR,"['MATÉRIA, IMPORTAR-SE']"
63,BETTER,1,BETTÂR,['MELHOR']
60,OUR,1,AR,['NOSSO']
35,COURSE,1,CÓRS,['CURSO']
58,BOTH,1,BOUTH,['AMBOS']
56,NATURAL,1,NÉTCHÂRÂL,['NATURAL']
50,SIX,1,SÊKS,['SEIS']
49,MANY,1,MÉNI,['MUITOS']
45,WE,1,UII,['NÓS']
81,SO,1,SÔU,"['ASSIM, TÃO']"
83,KNOW,1,NOU,['SABER']
21,PAY,1,PEI,['PAGAR']
105,WHILE,1,UAIL,['ENQUANTO']
122,FOLLOW,1,FALOU,['SEGUIR']
120,ONCE,1,UÂNS,['UMA-VEZ']
113,PRACTICE,1,PRÉCTTÂS,['PRÁTICA']
111,FINGER,1,FÊNGÂR,['DEDO']
110,THEIR,1,THÉR,['SEUS']
109,LEARN,1,LÂRN,['APRENDER']
108,CHILDREN,1,TCHÊLDRÂN,['CRIANÇAS']
107,THINK,1,THÊNK,['PENSAR']
104,SEE,1,SII,['VER']
20,PEOPLE,1,PIIPÂL,"['PESSOAS, POVO']"
99,CLOSE,1,CLOUS,['FECHAR']
98,MAY,1,MEI,"['MAIO, PODE']"
97,ELSE,1,ELS,['OUTRO']
19,PUT,1,PÔT,['POR']
91,DIFFICULT,1,DÊFÊCÂLT,['DIFÍCIL']
90,FULL,1,FÔL,['CHEIO']
89,ENOUGH,1,INÂF,['BASTANTE']
88,VIEW,1,VIU,['VISTA']
169,TOO,1,TUU,['TAMBÉM']
